battery_id,algorithm,charging_time
11,ALGO5,35.80340872525613
12,ALGO5,38.77711310506054
13,ALGO5,39.62670817524729
14,ALGO5,38.51820289106529
15,ALGO5,40.544323718706906
16,ALGO5,39.590841366614406
17,ALGO5,36.11295247186513
18,ALGO5,40.50024116424771
19,ALGO5,39.588679902929655
20,ALGO5,38.79060801065288
21,ALGO5,35.658376032944766
1,ALGO6,38.81114233669263
2,ALGO6,36.035716574789234
3,ALGO6,34.867906761577046
4,ALGO6,35.694069364728755
5,ALGO6,41.627874435977475
6,ALGO6,36.904957743102194
7,ALGO6,37.98014987720202
8,ALGO6,40.245874944606456
9,ALGO6,37.18190744589027
10,ALGO6,35.10212621721928
11,ALGO6,38.834847017724755
12,ALGO6,36.82272171895927
13,ALGO6,38.464894315320905
14,ALGO6,38.852397088195474
15,ALGO6,34.80198380714644
16,ALGO6,39.484009208343885
17,ALGO6,38.53024391991312
18,ALGO6,35.51219125503094
19,ALGO6,37.328898239741704
20,ALGO6,37.234414981960214
21,ALGO6,39.512904390429725
1,ALGO7,35.17456825762069
2,ALGO7,37.45613626842113
3,ALGO7,40.57790119393473
4,ALGO7,38.528560038190925
5,ALGO7,36.24451044414138
6,ALGO7,36.969392581480065
7,ALGO7,39.75919549786935
8,ALGO7,36.93926673656573
9,ALGO7,38.83291717916395
10,ALGO7,33.75685100802948
11,ALGO7,37.09679930478836
12,ALGO7,42.68788817865065
13,ALGO7,39.66783804463602
14,ALGO7,34.34971482668478
15,ALGO7,38.772908629538854
16,ALGO7,37.076427070463225
17,ALGO7,41.0207483985142
18,ALGO7,36.8149585231346
19,ALGO7,38.1705271170662
20,ALGO7,39.409974557960915
21,ALGO7,40.13151038834024
1,ALGO8,36.08122741364361
2,ALGO8,35.12945812695616
3,ALGO8,38.15818476371998
4,ALGO8,37.959793267422015
5,ALGO8,35.79750373235299
6,ALGO8,32.57241199192988
7,ALGO8,35.919905070744974
8,ALGO8,37.038408221913635
9,ALGO8,31.81070381779596
10,ALGO8,38.27187056358331
11,ALGO8,40.627085258859985
12,ALGO8,37.58774967450162
13,ALGO8,37.89553673551526
14,ALGO8,37.056363462758306
15,ALGO8,39.10487156478449
16,ALGO8,37.82280002192066
17,ALGO8,38.25821135392865
18,ALGO8,40.37791365804033
19,ALGO8,41.75893787091576
20,ALGO8,36.21807547566453
21,ALGO8,37.65257869600384
1,ALGO9,37.55069734469786
2,ALGO9,43.10256017147151
3,ALGO9,39.11982972525399
4,ALGO9,40.258871023307606
5,ALGO9,25.375834418690715
6,ALGO9,39.01984273363959
7,ALGO9,38.18823989353142
8,ALGO9,39.30148791771054
9,ALGO9,40.189199783763435
10,ALGO9,42.55661101964579
11,ALGO9,35.45106225028098
12,ALGO9,42.421640618785005
13,ALGO9,40.25592085405295
14,ALGO9,38.46447443469395
15,ALGO9,32.73530172804138
16,ALGO9,41.287351290737504
17,ALGO9,39.65795707637708
18,ALGO9,36.13186976260215
19,ALGO9,39.92613920667462
20,ALGO9,41.48874307094937
21,ALGO9,40.91572931757693
1,ALGO10,39.12708356338304
2,ALGO10,41.16641037622777
3,ALGO10,36.19482226353871
4,ALGO10,37.378629083243915
5,ALGO10,37.52903663274911
6,ALGO10,40.23058649933644
7,ALGO10,38.65796858855431
8,ALGO10,37.872128466451755
9,ALGO10,36.991144313887936
10,ALGO10,37.00046584297819
11,ALGO10,38.27898861489602
12,ALGO10,36.11302494761048
13,ALGO10,38.65240393225876
14,ALGO10,36.41259364137199
15,ALGO10,36.96870111499814
16,ALGO10,34.52774504402186
17,ALGO10,37.77101380256277
18,ALGO10,33.95648668792856
19,ALGO10,37.459765623074254
20,ALGO10,36.070509493474944
21,ALGO10,33.393429505576485
